06-10-2016, 10:12:07.00634 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:07.00634 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:07.00634 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:07.00634 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:07.00634 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:07.00634 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:07.00814 (000187ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:07.00814 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:07.00814 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:07.00814 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:07.00814 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:07.00814 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:07.00814 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:07.00814 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:08.00961 (001139ms)	ERR	CLlrpFW::deregisterNotificationsAndCleanup	[943]	No Connection exists to the Host. 
06-10-2016, 10:12:08.00961 (000000ms)	ERR	CLlrpFW::updateConnectionState     	[871]	No Connection exists to the Host. RFID_COMM_NO_CONNECTION
06-10-2016, 10:12:33.00914 (Begin   )	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
06-10-2016, 10:12:33.00914 (000000ms)	ERR	rfid_DeallocateTags                	[325]	Invalid parameter given. tagCount is 0
